ts_utc,event_ticker,market_ticker,strike,side,count,price_cents,entry_cost,fee,p_yes,p_win_model,implied_q_chosen_side,break_even_prob,edge_prob,expected_pnl,outcome_yes,win,realized_pnl,source_event,skip_reason
2026-02-18T12:02:39.931102+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,21,0.22,0.01,0.7262308009912641,0.27376919900873586,0.21,0.22,0.05376919900873586,0.05376919900873586,,,,skip,state_event_mismatch
2026-02-18T12:02:51.472827+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,20,0.21,0.01,0.7356886881362699,0.26431131186373014,0.2,0.21,0.054311311863730144,0.054311311863730144,,,,skip,state_event_mismatch
2026-02-18T12:03:03.079146+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,21,0.22,0.01,0.7239356116003647,0.2760643883996353,0.21,0.22,0.05606438839963532,0.05606438839963532,,,,skip,state_event_mismatch
2026-02-18T12:03:26.240056+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,16,0.17,0.01,0.2338874726184189,0.2338874726184189,0.16,0.17,0.0638874726184189,0.0638874726184189,,,,skip,state_event_mismatch
2026-02-18T12:03:37.791634+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,16,0.17,0.01,0.221088412397476,0.221088412397476,0.16,0.17,0.051088412397475996,0.051088412397475996,,,,skip,state_event_mismatch
2026-02-18T12:03:49.369329+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,14,0.15,0.01,0.2062945979173081,0.2062945979173081,0.14,0.15,0.05629459791730809,0.05629459791730809,,,,skip,state_event_mismatch
2026-02-18T12:03:49.371005+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,23,0.24,0.01,0.7092789981593759,0.2907210018406241,0.23,0.24,0.050721001840624114,0.050721001840624114,,,,skip,state_event_mismatch
2026-02-18T12:04:00.936423+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,16,0.17,0.01,0.2239414913796457,0.2239414913796457,0.16,0.17,0.053941491379645684,0.053941491379645684,,,,skip,state_event_mismatch
2026-02-18T12:04:12.535664+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,24,0.25,0.01,0.6943718921897607,0.3056281078102393,0.24,0.25,0.0556281078102393,0.0556281078102393,,,,skip,state_event_mismatch
2026-02-18T12:04:24.197529+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,13,0.14,0.01,0.1924781711019261,0.1924781711019261,0.13,0.14,0.0524781711019261,0.0524781711019261,,,,skip,state_event_mismatch
2026-02-18T12:04:35.866174+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,23,0.24,0.01,0.6992782711823704,0.3007217288176296,0.23,0.24,0.060721728817629606,0.060721728817629606,,,,skip,state_event_mismatch
2026-02-18T12:04:35.867975+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,13,0.14,0.01,0.19559061469903327,0.19559061469903327,0.13,0.14,0.05559061469903326,0.05559061469903326,,,,skip,state_event_mismatch
2026-02-18T12:04:47.438313+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,23,0.24,0.01,0.7003421087643849,0.29965789123561515,0.23,0.24,0.05965789123561516,0.05965789123561516,,,,skip,state_event_mismatch
2026-02-18T12:04:47.439663+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,13,0.14,0.01,0.1957180043150073,0.1957180043150073,0.13,0.14,0.055718004315007286,0.055718004315007286,,,,skip,state_event_mismatch
2026-02-18T12:04:59.054687+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,21,0.22,0.01,0.7093832607397078,0.2906167392602922,0.21,0.22,0.07061673926029219,0.07061673926029219,,,,skip,state_event_mismatch
2026-02-18T12:04:59.055512+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,13,0.14,0.01,0.20235591227341687,0.20235591227341687,0.13,0.14,0.06235591227341686,0.06235591227341686,,,,skip,state_event_mismatch
2026-02-18T12:05:11.688390+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,22,0.23,0.01,0.705299388167708,0.294700611832292,0.22,0.23,0.064700611832292,0.064700611832292,,,,skip,state_event_mismatch
2026-02-18T12:05:11.690207+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,13,0.14,0.01,0.20125318466591646,0.20125318466591646,0.13,0.14,0.06125318466591645,0.06125318466591645,,,,skip,state_event_mismatch
2026-02-18T12:05:23.407887+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,14,0.15,0.01,0.2191646342537691,0.2191646342537691,0.14,0.15,0.06916463425376909,0.06916463425376909,,,,skip,state_event_mismatch
2026-02-18T12:05:23.409935+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,20,0.21,0.01,0.7272402685581211,0.2727597314418789,0.2,0.21,0.06275973144187894,0.06275973144187894,,,,skip,state_event_mismatch
2026-02-18T12:05:35.099442+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,15,0.16,0.01,0.760411137639804,0.23958886236019605,0.15,0.16,0.07958886236019605,0.07958886236019605,,,,skip,state_event_mismatch
2026-02-18T12:05:35.101240+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,18,0.19,0.01,0.24893328577226326,0.24893328577226326,0.18,0.19,0.058933285772263255,0.058933285772263255,,,,skip,state_event_mismatch
2026-02-18T12:05:46.672255+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,17,0.18,0.01,0.7583354925850371,0.24166450741496293,0.17,0.18,0.06166450741496293,0.06166450741496293,,,,skip,state_event_mismatch
2026-02-18T12:05:46.673548+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,18,0.19,0.01,0.24603917852140733,0.24603917852140733,0.18,0.19,0.05603917852140733,0.05603917852140733,,,,skip,state_event_mismatch
2026-02-18T12:05:58.264254+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,17,0.18,0.01,0.7490622884958467,0.25093771150415334,0.17,0.18,0.07093771150415334,0.07093771150415334,,,,skip,state_event_mismatch
2026-02-18T12:05:58.266521+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,17,0.18,0.01,0.23599011505921208,0.23599011505921208,0.17,0.18,0.05599011505921209,0.05599011505921209,,,,skip,state_event_mismatch
2026-02-18T12:06:09.887940+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,18,0.19,0.01,0.7518765967874795,0.24812340321252047,0.18,0.19,0.058123403212520464,0.058123403212520464,,,,skip,state_event_mismatch
